review_text,review_rating,review_timestamp,clean_review
Great app. Don't move without it,5,26-11-2012 18:37,great app don t move without it
Very useful.  A must have app.,4,24-11-2012 14:14,very useful a must have app
"Gives google navigation a run for its money, and sometimes is even better",5,15-03-2012 13:11,gives google navigation a run for its money and sometimes is even better
Its a good app.roads are accurate.,5,12-11-2012 01:44,its a good app roads are accurate
"Works realy nice on galaxy tab in Israel , best navigation app by far.",5,17-02-2011 21:18,works realy nice on galaxy tab in israel best navigation app by far
"Sometimes it lags, but always updating which is great, and learns the way you drive and routes you take, I would recommend it, great little app a lot of info all the time",4,23-07-2012 20:01,sometimes it lags but always updating which is great and learns the way you drive and routes you take i would recommend it great little app a lot of info all the time
Great App....Need a way to set a gps positon as home or work rather than address.,4,03-03-2012 13:21,great app need a way to set a gps positon as home or work rather than address
Very useful during rush hour,4,05-11-2012 06:31,very useful during rush hour
Good overall.,5,18-07-2012 14:19,good overall
Very helpful & fun to use.,5,11-07-2012 22:49,very helpful fun to use
Maps incorrect and too many erroneous routes,2,04-11-2011 16:40,maps incorrect and too many erroneous routes
Great n helpful app,5,06-04-2012 22:00,great n helpful app
#Waze is an amazing app an a must have utility if you do alot of city driving. I couldn't imagine not having it on hand!,5,28-07-2012 13:34,waze is an amazing app an a must have utility if you do alot of city driving i couldn t imagine not having it on hand
Has got to be the coolest navigation app I've ever used.,5,13-09-2011 19:45,has got to be the coolest navigation app i ve ever used
Good job!!! Works ok in Costa Rica.,5,11-08-2012 19:19,good job works ok in costa rica
Drains battery,4,30-09-2011 22:52,drains battery
You'll need at least Galaxy S2 for it to work properly,4,31-10-2012 13:21,you ll need at least galaxy s2 for it to work properly
"Excellrent, just love it",5,18-12-2011 00:53,excellrent just love it
but sometimes it works in a strange way. It wanted to send me through a cycle lane!,4,05-09-2012 10:53,but sometimes it works in a strange way it wanted to send me through a cycle lane
Definitely like this over my previous nav system. Re routes seamlessly as well!,5,23-11-2012 07:06,definitely like this over my previous nav system re routes seamlessly as well
"Usefull app, easy to use",4,11-12-2011 23:16,usefull app easy to use
really healpfull,5,01-07-2012 21:16,really healpfull
Nothing more to be said,5,18-09-2012 18:17,nothing more to be said
will give full marks if the save favourite will auto list all instead have to click on favourite to scroll all saved destinations.,4,31-10-2012 15:01,will give full marks if the save favourite will auto list all instead have to click on favourite to scroll all saved destinations
Only Gps I use,5,21-03-2012 21:48,only gps i use
Just need more people...more the safer,5,26-04-2012 11:44,just need more people more the safer
"Great app, SO useful for people like me who arrive to TLV and need to drive everywhere. Wouldn't be able to find my way without it, thanks!!",4,15-06-2011 13:21,great app so useful for people like me who arrive to tlv and need to drive everywhere wouldn t be able to find my way without it thanks
Excellent..  good tool,4,08-03-2012 03:50,excellent good tool
Cant beat it.,4,10-08-2012 20:28,cant beat it
"Excellent app, how ever should be available in offline mode for regular voice navigation maps",5,24-11-2012 10:11,excellent app how ever should be available in offline mode for regular voice navigation maps
Great idea for those of us who live in traffic. Keep improving it and Google's going to snatch it up. :),4,03-04-2012 01:24,great idea for those of us who live in traffic keep improving it and google s going to snatch it up
"Pretty good, sometimes it bombs.  Kinda fun to see so many wazers out there.",3,01-05-2012 13:16,pretty good sometimes it bombs kinda fun to see so many wazers out there
Superb for a free app. Sometimes loses connection but maybe my phone.,5,20-03-2012 15:40,superb for a free app sometimes loses connection but maybe my phone
One of the best i have seen works great. Runs smooth galaxy s2,5,24-10-2012 16:41,one of the best i have seen works great runs smooth galaxy s2
Great app!  I love the ETA feature.,5,13-04-2012 00:00,great app i love the eta feature
"Very helpful to avoid traffic, cops, road debris, etc.  Would like to place hazard notes on the opposite side of traffic from where my vehicle is traveling",4,25-07-2012 22:26,very helpful to avoid traffic cops road debris etc would like to place hazard notes on the opposite side of traffic from where my vehicle is traveling
"Love waze. Everything about it is amazing. Great directions, great warnings, rarely (if ever) has glitches. Highly recommend.",5,23-11-2012 16:45,love waze everything about it is amazing great directions great warnings rarely if ever has glitches highly recommend
Very easy and simple to use. This is one of the few apps I have downloaded and actually use. Love it!,5,02-06-2012 03:56,very easy and simple to use this is one of the few apps i have downloaded and actually use love it
Companion. Take care of good things from compitators.,5,14-09-2012 09:47,companion take care of good things from compitators
Even better on my EVO then it was on my SlackBerry!,5,18-06-2011 18:50,even better on my evo then it was on my slackberry
Madeall my wishes and dreams come true,5,05-03-2012 23:00,madeall my wishes and dreams come true
The best Gps ever... Works like a gem,5,13-09-2011 04:06,the best gps ever works like a gem
I've been using Waze daily for the last few versions and it runs great on my lowly Galaxy Prevail. My commute is a little more enjoyable due to the variety of routes it has suggested. One feature I would like is to be able to avoid left turns at uncontrolled intersections.,5,09-08-2012 14:00,i ve been using waze daily for the last few versions and it runs great on my lowly galaxy prevail my commute is a little more enjoyable due to the variety of routes it has suggested one feature i would like is to be able to avoid left turns at uncontrolled intersections
Great software.. Community feedback on traffic condition,5,18-11-2012 14:30,great software community feedback on traffic condition
great app help a lot,5,22-08-2012 00:41,great app help a lot
Best nav program I have ever used.,5,13-12-2011 13:33,best nav program i have ever used
It's free! It works!,5,23-09-2012 16:57,it s free it works
Aewsome App!,5,02-11-2012 03:01,aewsome app
Working fine without wifi. But when i wanted to return it was looking for network. Hope in future street names are also included. Congratulations.,4,14-10-2011 07:26,working fine without wifi but when i wanted to return it was looking for network hope in future street names are also included congratulations
"I like the app, but sometimes it makes my phone freeze and I have to pull the battery. Droid 3.",4,29-02-2012 20:15,i like the app but sometimes it makes my phone freeze and i have to pull the battery droid 3
I use this app and the default Google navigation. This has a fun factor to it that Google just can't match!,5,01-09-2012 17:55,i use this app and the default google navigation this has a fun factor to it that google just can t match
Great app! Getting better!,4,09-08-2012 09:16,great app getting better
"Buggy and more complicated than necessary, but it is the best solution out there. I look forward to have my area well mapped.",3,23-02-2010 06:25,buggy and more complicated than necessary but it is the best solution out there i look forward to have my area well mapped
The best driving app.,5,22-10-2010 00:55,the best driving app
Excellent application. Makes my life so much easier. Travelling is a breeze now.,5,09-10-2012 15:05,excellent application makes my life so much easier travelling is a breeze now
"Much faster map updates than any other Nav system, user editable maps, live traffic info, fuel prices, social sharing... Even Apple recommend it!",5,20-10-2012 08:02,much faster map updates than any other nav system user editable maps live traffic info fuel prices social sharing even apple recommend it
Good nav app but it has no toll road avoid setting. Not even a block a section of road. A biggie for me cause there is a toll road in me daily commute and this app suggests aeveral routes but all have this road.,1,07-07-2012 20:08,good nav app but it has no toll road avoid setting not even a block a section of road a biggie for me cause there is a toll road in me daily commute and this app suggests aeveral routes but all have this road
"Slow, freezez Droid2",1,03-09-2010 03:18,slow freezez droid2
"This app Is so cool, use it daily",4,23-06-2012 21:42,this app is so cool use it daily
I've been testing it for   a while and it gives bad directions frequently. Lots of other problems. Google map much better.,2,29-08-2012 05:31,i ve been testing it for a while and it gives bad directions frequently lots of other problems google map much better
Waze has never let me down. Once I thought it was messed up and I didnt follow and wound up in a bad jam cause by an accident. Turns out it was routing me around the traffic. I will never doubt again. Being able to track friends with the new update is very cool too.,5,26-11-2012 17:20,waze has never let me down once i thought it was messed up and i didnt follow and wound up in a bad jam cause by an accident turns out it was routing me around the traffic i will never doubt again being able to track friends with the new update is very cool too
Very good  waze,5,19-09-2012 05:04,very good waze
Just as good as Google nav,5,27-06-2012 17:24,just as good as google nav
Fun and use it every day,5,23-07-2012 10:39,fun and use it every day
Real up to time traffic conditions,4,08-11-2011 14:47,real up to time traffic conditions
Great app. Relies heavily on others to provide input.,4,19-07-2012 23:15,great app relies heavily on others to provide input
"Easy, quick and free. Dies what I need it to for without fuss or hassle. Highly recommended.",5,31-08-2012 09:13,easy quick and free dies what i need it to for without fuss or hassle highly recommended
Thanks for the latest upgrade,5,19-03-2012 17:33,thanks for the latest upgrade
"I've been a loyal Waze'r for over a year.  I absolutely loved it.  Five Stars!  I used this handy navigational aide almost every day.  Unfortunately, the latest version force closes (crashes) at application launch every time.  I'll have to resort to uninstalling this version and restoring the previous version from backup.  PLEASE WAZE DEVELOPERS, FIX THIS ISSUE!  I hope I'll writing up a favorable retraction to this review VERY SOON!  Phone = Motorola Droid X",1,05-11-2012 08:03,i ve been a loyal waze r for over a year i absolutely loved it five stars i used this handy navigational aide almost every day unfortunately the latest version force closes crashes at application launch every time i ll have to resort to uninstalling this version and restoring the previous version from backup please waze developers fix this issue i hope i ll writing up a favorable retraction to this review very soon phone motorola droid x
Nice app but i don't know if we can find a place on map and save it.,4,29-08-2012 01:43,nice app but i don t know if we can find a place on map and save it
It does exactly what's on the label.,5,26-11-2012 22:02,it does exactly what s on the label
Gets u where u can't get urself,5,25-02-2011 05:31,gets u where u can t get urself
"Very nice app, only suggestion I see is instead of saying turn left or turn right, if you could get it to say the actual street names",4,13-07-2011 18:20,very nice app only suggestion i see is instead of saying turn left or turn right if you could get it to say the actual street names
I commute 3.5hrs weekly and waze has gotten me around countless traffic jams. Thank you!!! Plus it's really cute ;),4,03-11-2012 12:55,i commute 3 5hrs weekly and waze has gotten me around countless traffic jams thank you plus it s really cute
"Just now installed. works superbly. Though needs a little tweaking.Living in Bangalore,it also gives, traffic update of other cities and country.  Acer Iconia. Natt",5,10-10-2012 02:17,just now installed works superbly though needs a little tweaking living in bangalore it also gives traffic update of other cities and country acer iconia natt
Awesome app! Only bummer is that it kicks out every once in a while if I'm on the phone with someone. I'm on my HTC EVO.,4,17-10-2011 17:03,awesome app only bummer is that it kicks out every once in a while if i m on the phone with someone i m on my htc evo
Accurate and the best is free!!!,5,25-11-2012 18:07,accurate and the best is free
Saved me from a few speeding tickets!,5,23-08-2012 17:41,saved me from a few speeding tickets
Best free GPS out there right now.,5,24-11-2010 14:18,best free gps out there right now
"Works great in panama city, panama.  One of the best gps navigaton systems",5,12-11-2012 03:24,works great in panama city panama one of the best gps navigaton systems
This is a great app to have.,5,09-08-2012 21:25,this is a great app to have
"2 stars for community sense. Dangerous to use the navigation. Send me to wrong sides of streets. Shows me on wrong side, too. Nightmare.",2,15-04-2010 07:10,2 stars for community sense dangerous to use the navigation send me to wrong sides of streets shows me on wrong side too nightmare
Most convenient with live traffic updates. Reccommended!!!,5,12-10-2012 04:53,most convenient with live traffic updates reccommended
Works great on my Ipad & my DROID,5,07-08-2012 17:24,works great on my ipad my droid
"Driving directions are terrible as far as logic but thru waze user input, this app is great for alerts to traffic, hazards, police traps n checkpoints",5,08-12-2011 16:38,driving directions are terrible as far as logic but thru waze user input this app is great for alerts to traffic hazards police traps n checkpoints
BEST GPS ive ever used!!,5,02-02-2012 00:43,best gps ive ever used
"I just love it. Very accurate and very useful. Best of all is free. Totally recommende, a must have navigation app.",5,25-05-2012 17:15,i just love it very accurate and very useful best of all is free totally recommende a must have navigation app
Like the eta estimates best.,4,03-10-2012 18:32,like the eta estimates best
"Concept is nice, but the implementation needs work. Cannot find most addresses and gives wrong location for the rest.",2,03-11-2010 11:40,concept is nice but the implementation needs work cannot find most addresses and gives wrong location for the rest
Terrible navigation yesterday. It routed correctly on US95. Then wanted me to go 10 miles out of my way - though 95 went straight ahead.,2,24-07-2011 22:24,terrible navigation yesterday it routed correctly on us95 then wanted me to go 10 miles out of my way though 95 went straight ahead
"Community/reporting features are great. New UI rocks! Doesn't find 1 in 3 to 4 addresses in the Netherlands. The ""I stopped"" button is still missing. Keeps it from getting my 5 stars.",4,22-03-2012 06:06,community reporting features are great new ui rocks doesn t find 1 in 3 to 4 addresses in the netherlands the i stopped button is still missing keeps it from getting my 5 stars
Superb!!!! Excellent app!,5,02-11-2012 10:12,superb excellent app
"Excellent updates, nice clean graphics. Good to know what the traffic conditions are, especially without a radio!",5,31-10-2012 11:13,excellent updates nice clean graphics good to know what the traffic conditions are especially without a radio
Best GPS I had,5,15-05-2012 23:04,best gps i had
Fun... but navigation still inferior to Google. And Scoreboard will not load. HTC Incredible,3,30-06-2011 20:08,fun but navigation still inferior to google and scoreboard will not load htc incredible
"Really enjoy using it, very good for traveling",5,10-04-2012 17:14,really enjoy using it very good for traveling
I love it so much u have to get it,5,18-09-2012 03:07,i love it so much u have to get it
superb app n fun n easy to use..,5,05-11-2012 16:42,superb app n fun n easy to use
"Really helpfull app, and easy to use.",5,21-06-2012 08:53,really helpfull app and easy to use
"Removed this app after one hour of evaluation. The map icons were just too pre-school for me. I much prefer apps geared towards adults. And after I deleted the app, my data plan manager showed that the app had drained over 600mb in just that hour. WTF?",2,10-10-2012 15:08,removed this app after one hour of evaluation the map icons were just too pre school for me i much prefer apps geared towards adults and after i deleted the app my data plan manager showed that the app had drained over 600mb in just that hour wtf
Almost there......,4,17-07-2012 21:54,almost there
IS GREATT!!!!,5,31-01-2012 15:13,is greatt
Very good app. Thanks,5,27-08-2012 01:06,very good app thanks
Great app but....,4,13-09-2012 05:27,great app but
This is the best app. WAZE makes driving enjoyable again. Thanks! Keep the great updates and features coming.,5,03-05-2011 01:10,this is the best app waze makes driving enjoyable again thanks keep the great updates and features coming
I love the app! I only use this app when ever my mom drive to places!!     (5stars),5,14-08-2012 20:22,i love the app i only use this app when ever my mom drive to places 5stars
Hazards and police are clearly marked. Saved us from a ticket on unfamiliar roads driving around SoCal this week. Not too bad for a free app.,5,26-04-2012 21:34,hazards and police are clearly marked saved us from a ticket on unfamiliar roads driving around socal this week not too bad for a free app
"Easy to use. Great, overall",4,21-03-2012 19:22,easy to use great overall
Best gps app yet. I love it,5,13-08-2011 20:36,best gps app yet i love it
"Love it, smarter then Navi from sprints",5,20-02-2012 22:18,love it smarter then navi from sprints
Very accurate maps and good directions.,5,12-10-2012 02:11,very accurate maps and good directions
Usually spot on. Saves me time.,5,27-09-2012 15:54,usually spot on saves me time
I guess it's a good idea but the app doesn't lend itself to providing realtime data when one is driving.,1,11-03-2010 05:50,i guess it s a good idea but the app doesn t lend itself to providing realtime data when one is driving
Love all the new features and themes UI keep it up guys!,5,30-06-2012 19:33,love all the new features and themes ui keep it up guys
Really cool ap and idea. Look forward to further development. Works great on Droid 2!,5,17-06-2011 04:48,really cool ap and idea look forward to further development works great on droid 2
My favorite new app,5,04-08-2012 01:52,my favorite new app
Too many bugs.,3,24-06-2011 04:12,too many bugs
Good app.  A must have for anyone and tend to find myself using it more than facebook these days.,5,18-08-2012 15:02,good app a must have for anyone and tend to find myself using it more than facebook these days
It got stuck and failed to work once. But it has otherwise worked pretty well.,4,04-09-2011 21:41,it got stuck and failed to work once but it has otherwise worked pretty well
No announcements at some  junctions or slip roads.,4,01-08-2012 05:00,no announcements at some junctions or slip roads
"Directions need some work, but the social part of traffic is fun!",5,31-10-2012 20:28,directions need some work but the social part of traffic is fun
"I have a Samsung Galaxy S2, which its gps is the worst ever created...normally taking (literally) a minute or 2 to get a lock.  But somehow Waze finds me in seconds..not sure why, but thats worth 5 stars to me alone!",5,26-09-2012 12:11,i have a samsung galaxy s2 which its gps is the worst ever created normally taking literally a minute or 2 to get a lock but somehow waze finds me in seconds not sure why but thats worth 5 stars to me alone
Sweetness! Best map app.    Sommer Thompson,5,03-08-2012 17:00,sweetness best map app sommer thompson
When my old nav wanted to charge me I tried this and so far it is great and better than my old.,5,21-08-2012 20:18,when my old nav wanted to charge me i tried this and so far it is great and better than my old
"A great navigation app which is free, accurate and fun!",4,18-04-2012 05:18,a great navigation app which is free accurate and fun
First GPS ever and like it a lot.,5,16-02-2012 05:11,first gps ever and like it a lot
Impressed by the quality,5,31-08-2012 05:05,impressed by the quality
I have a one hour commute to work and this is great to reduce delays,5,25-08-2012 14:43,i have a one hour commute to work and this is great to reduce delays
Great app... I love this app....  Only think I wish is having POI,5,21-03-2012 23:18,great app i love this app only think i wish is having poi
Only one word... Excellent,5,28-06-2012 05:04,only one word excellent
Very cute and map is update ...,4,20-02-2012 10:55,very cute and map is update
"Landscape on the new version means that directions take up way too much of the screen. Also uses a lot of battery. Other than that, it's a great app :)",4,06-11-2012 20:13,landscape on the new version means that directions take up way too much of the screen also uses a lot of battery other than that it s a great app
You get updates live from fellow users on the road as things happen. Collect candy and bonus points.,5,22-08-2011 01:22,you get updates live from fellow users on the road as things happen collect candy and bonus points
I would be so lost without this app.  The real time traffic is amazing.  Take a lesson GPS makers....you should have thought of it years ago....where it actually is correct.,5,26-11-2012 18:23,i would be so lost without this app the real time traffic is amazing take a lesson gps makers you should have thought of it years ago where it actually is correct
Just i like haha,5,04-06-2012 14:25,just i like haha
"Thanks, I wouldn't golost again.",5,21-10-2012 15:50,thanks i wouldn t golost again
Excellent app that has saved me time and money on speeding tickets!,5,21-11-2012 12:24,excellent app that has saved me time and money on speeding tickets
"Force closes, having problem with connection to GPS and internet... HTC desire",2,05-06-2011 16:30,force closes having problem with connection to gps and internet htc desire
HTC Inspire 4G force close...,2,15-04-2012 17:22,htc inspire 4g force close
I can know where should I can escape the traffic jam and road block...,5,28-06-2012 15:18,i can know where should i can escape the traffic jam and road block
Need some improvement but constantly evolving from the numerous interactive users,4,19-11-2012 18:22,need some improvement but constantly evolving from the numerous interactive users
Easy and nice.,5,12-08-2012 00:23,easy and nice
Ok app.,5,22-11-2012 14:31,ok app
Love it this app. Just as good as Google Maps.,4,13-09-2011 16:54,love it this app just as good as google maps
Mierda para los policÃ­as.,5,10-04-2012 21:59,mierda para los polic as
Great application! !!,5,23-04-2011 15:04,great application
Very kwl app!!,5,30-03-2012 11:57,very kwl app
Works better than my tomtom,5,25-04-2012 21:37,works better than my tomtom
"Excellent app, needs more tools for edition of roads",4,08-07-2011 21:30,excellent app needs more tools for edition of roads
Very good. Need more precise directions when arriving at destination.,3,01-05-2012 16:55,very good need more precise directions when arriving at destination
Improve the map detail in Indonesia especially on jakarta,4,19-11-2012 07:37,improve the map detail in indonesia especially on jakarta
This app is very useful and addictive.,5,15-10-2011 07:16,this app is very useful and addictive
We need more community apps like this.  Works great!,5,07-08-2009 04:40,we need more community apps like this works great
Made my friends wedding thanks to this app.,5,06-08-2012 03:08,made my friends wedding thanks to this app
I love this apps!!! Helpful and the interface design is nice!!!,5,25-07-2012 16:55,i love this apps helpful and the interface design is nice
Best application! Its help me a lot .. everything about traffic.,4,17-08-2012 13:55,best application its help me a lot everything about traffic
Awesome navigator...in india its rocking app...but its less detailed if compared with google maps..but if u know where u wanna go..den it rocks..,5,09-09-2011 03:57,awesome navigator in india its rocking app but its less detailed if compared with google maps but if u know where u wanna go den it rocks
It helps you cope with traffic!,5,03-03-2012 03:11,it helps you cope with traffic
Freakiskly accurate... beats my tomtom and magellan to pieces.,5,09-07-2011 20:23,freakiskly accurate beats my tomtom and magellan to pieces
On the highways it dosent show when u need to merge lanes... and names of exits,3,04-08-2011 09:40,on the highways it dosent show when u need to merge lanes and names of exits
Easy n very user friendly. Recommend *****,5,13-06-2011 16:42,easy n very user friendly recommend
"I enjoy this app very much. Fun and very usefull. One suggestion, i think it would be very cool if the app could track the total miles traveled from the time installed. Would be interesting to see my mileage over the couse of the year: )",5,01-03-2012 17:08,i enjoy this app very much fun and very usefull one suggestion i think it would be very cool if the app could track the total miles traveled from the time installed would be interesting to see my mileage over the couse of the year
Excelent! Just perfect. Just what we need it,5,08-08-2012 12:36,excelent just perfect just what we need it
Ok but struggled with rural roads somewhat where gps signal can be erratic. Keep at it and,3,02-09-2011 17:59,ok but struggled with rural roads somewhat where gps signal can be erratic keep at it and
Nice app. Atleast good one in mumbai. Quick learner. Great too. Must use it for travelers.. Thanks waze team. Keep it up.!!,4,27-06-2011 09:40,nice app atleast good one in mumbai quick learner great too must use it for travelers thanks waze team keep it up
"Love this app!  From time to time there are minor glitches but overall, it works well.",4,11-11-2012 20:30,love this app from time to time there are minor glitches but overall it works well
It makes driving fun.,4,15-09-2011 15:55,it makes driving fun
This app has saved me from long commutes from home towork by alerting me to traffic tie ups,5,21-06-2012 16:44,this app has saved me from long commutes from home towork by alerting me to traffic tie ups
The best nav ever works very good,5,06-10-2012 01:33,the best nav ever works very good
"It's a really good app, they are still working some bugs out but its well worth the download. They are doing their best.",4,14-09-2011 00:52,it s a really good app they are still working some bugs out but its well worth the download they are doing their best
Invaluable tool,5,08-08-2012 13:57,invaluable tool
Saved me a lot of time (traffic jam),5,06-10-2011 10:07,saved me a lot of time traffic jam
"This is fantastic, a must to download.",5,09-08-2012 16:20,this is fantastic a must to download
Does what it says on the tin,5,09-07-2012 16:50,does what it says on the tin
Soon all cars will be equipped with something like this.,5,06-09-2012 11:18,soon all cars will be equipped with something like this
Apparently works perfect,5,07-07-2012 14:22,apparently works perfect
Love app.  Works on SGS2.  Traffic updates are great.,5,23-03-2012 21:38,love app works on sgs2 traffic updates are great
I love this app. Works great on my htc evo 4G,5,11-08-2012 03:11,i love this app works great on my htc evo 4g
My daily driver. Thank you!,5,06-11-2012 16:42,my daily driver thank you
"#waze Nagyon hasznos Ã©s szÃ³rakoztatÃ³ app, hasznÃ¡ljuk minÃ©l tÃ¶bben!",5,30-05-2012 23:19,waze nagyon hasznos s sz rakoztat app haszn ljuk min l t bben
Excellent software...:D,5,07-07-2012 20:55,excellent software d
Always run when I'm driving nice to see the high volume of users,5,15-02-2012 04:51,always run when i m driving nice to see the high volume of users
best application ever.,5,14-06-2011 00:20,best application ever
The best navigation ever!!!!!!!! Well done waze,5,18-08-2012 00:45,the best navigation ever well done waze
So useful and its just great knowing that real people on the road send in their reports.,5,29-10-2012 18:36,so useful and its just great knowing that real people on the road send in their reports
"Great traffic sense, but needs improvement for Nav and Gas.",5,25-11-2012 16:16,great traffic sense but needs improvement for nav and gas
"And its even better than the paid apps in my opinion, fun too!",5,28-12-2011 04:51,and its even better than the paid apps in my opinion fun too
Sweet little app,5,08-07-2012 00:51,sweet little app
The best and most useful app in the market!,5,27-08-2011 21:22,the best and most useful app in the market
Dig this more than any paid nav service I have ever used.,5,19-11-2012 22:03,dig this more than any paid nav service i have ever used
Great app keeps me updated on what's happening around you as you travel. Also good directions. The voice could be a little more clear.,5,01-11-2012 20:29,great app keeps me updated on what s happening around you as you travel also good directions the voice could be a little more clear
Great app. Only issue ia it eats battery power fast. Best if used with a charger.,4,03-03-2012 00:57,great app only issue ia it eats battery power fast best if used with a charger
Really helps out to avoid the traffic jams,5,08-11-2012 05:56,really helps out to avoid the traffic jams
Nice i love it,5,25-06-2012 10:06,nice i love it
"Excellent app, perfect all the way around. Just needs location history, & real satilite view.",5,16-02-2012 23:17,excellent app perfect all the way around just needs location history real satilite view
Generally no complaints,5,09-11-2012 09:40,generally no complaints
I love my WAZE! It has gotten me out of traffic and taken alternate routes   I can't travel without it,5,13-04-2012 07:58,i love my waze it has gotten me out of traffic and taken alternate routes i can t travel without it
Excellent navigation product,5,23-06-2012 04:43,excellent navigation product
This is an amazing app I love the traffic reporting the police reporting and it usually find the best route in my experience it's estimated arrival time is more accurate than the Google Maps Navigation also,5,09-11-2012 03:37,this is an amazing app i love the traffic reporting the police reporting and it usually find the best route in my experience it s estimated arrival time is more accurate than the google maps navigation also
Great app. Saved me from getting a speeding ticket,4,26-05-2012 21:10,great app saved me from getting a speeding ticket
one of the bast sosial gps programs. using it dayly,5,20-11-2012 14:54,one of the bast sosial gps programs using it dayly
Luv it! Very nice app,5,23-03-2012 01:15,luv it very nice app
Better battery life than Google Navigation.,5,28-05-2012 02:49,better battery life than google navigation
#waze Best mapping app period.,5,26-06-2012 21:19,waze best mapping app period
This is awsome,5,04-06-2012 17:27,this is awsome
Also every body contributes by adding new roads. Soon it will be complete.,5,08-02-2012 06:50,also every body contributes by adding new roads soon it will be complete
