review_text,review_rating,review_timestamp,clean_review
very disappointed. driver charges me for another 10 pesos even when im in a promo.,1,2016-04-07T02:56:22.000Z,very disappointed driver charges me for another 10 pesos even when im in a promo
Loved it when received promo,5,2016-11-06T07:14:29.000Z,loved it when received promo
Very handy and safe to use,5,2016-01-16T12:17:16.000Z,very handy and safe to use
Cabs are efficient,5,2016-07-27T00:06:21.000Z,cabs are efficient
"MÃ¬nh suggest má»—i chuyáº¿n Ä‘i xong náº¿u dÃ¹ng promotion code thÃ¬ Grab nÃªn hiá»ƒn thá»‹ giÃ¡ final Ä‘á»ƒ ngÆ°á»i dÃ¹ng biáº¿t. VD mÃ¬nh book Grab Car hiá»‡n giÃ¡ 80k, mÃ¬nh nháº­p code 50, Grab chá»‰ nÃ³i lÃ  sáº½ Ä‘Æ°á»£c giáº£m giÃ¡ tá»‘i Ä‘a 30k vá»›i code nÃ y =&gt; chuyáº¿n Ä‘i cá»§a mÃ¬nh sáº½ cÃ³ giÃ¡ tá»‘i thiá»ƒu 50k. Tháº¿ nhÆ°ng lÃºc tá»›i nÆ¡i mÃ¬nh ko tháº¥y hiá»ƒn thá»‹ giÃ¡ cuá»‘i cÃ¹ng lÃ  bao nhiÃªu (ko biáº¿t Ä‘Æ°á»£c giáº£m bao nhiÃªu) nÃªn cháº£ biáº¿t pháº£i tráº£ tiá»n cho tÃ i xáº¿ tháº¿ nÃ o, chÆ°a ká»ƒ nhiá»u tÃ i xáº¿ cÅ©ng lÆ¡ luÃ´n vá»¥ promotion code, bÃ¡o giÃ¡ luÃ´n 80k. Mong Grab mau take action!",5,2016-12-05T07:53:41.000Z,m nh suggest m i chuy n i xong n u d ng promotion code th grab n n hi n th gi final ng i d ng bi t vd m nh book grab car hi n gi 80k m nh nh p code 50 grab ch n i l s c gi m gi t i a 30k v i code n y gt chuy n i c a m nh s c gi t i thi u 50k th nh ng l c t i n i m nh ko th y hi n th gi cu i c ng l bao nhi u ko bi t c gi m bao nhi u n n ch bi t ph i tr ti n cho t i x th n o ch a k nhi u t i x c ng l lu n v promotion code b o gi lu n 80k mong grab mau take action
Pelayanan terbaik,5,2016-06-23T12:29:21.000Z,pelayanan terbaik
"Life saver during in times of need. Hassle free. Pls add more landmarks, updates on gmaps and more promo codes ðŸ˜‚ðŸ˜‚ðŸ˜‚",5,2016-05-20T14:11:18.000Z,life saver during in times of need hassle free pls add more landmarks updates on gmaps and more promo codes
The idea is simple and effective. It works and quite fast too.,4,2014-04-27T16:50:08.000Z,the idea is simple and effective it works and quite fast too
Very difficult get drivers at evening or nights,1,2016-06-27T04:30:31.000Z,very difficult get drivers at evening or nights
Ok..i wanna try!!,4,2016-08-03T10:43:53.000Z,ok i wanna try
We almost got hit by another car because the driver of the grab car (sedan) i got was falling asleep!! I need to tap him everytime inorder not to fall asleep. I just want to arrive safe to where im going please do something about some of the drivers,1,2016-02-05T16:15:17.000Z,we almost got hit by another car because the driver of the grab car sedan i got was falling asleep i need to tap him everytime inorder not to fall asleep i just want to arrive safe to where im going please do something about some of the drivers
Loving it so much! We used grab everytime we go out and its super cheap than a normal taxi! Recommend!!!,5,2016-10-06T05:20:15.000Z,loving it so much we used grab everytime we go out and its super cheap than a normal taxi recommend
Since today there's something wrong with the app. Cars not loading on the map and typed addresses are all not recognized.,4,2016-07-18T14:12:04.000Z,since today there s something wrong with the app cars not loading on the map and typed addresses are all not recognized
They will not last. Not enough drivers and their website is always down. They're not ready.,1,2015-05-10T09:33:05.000Z,they will not last not enough drivers and their website is always down they re not ready
"Don't offer advance bookings if you don't have the infrastructure to support it! App doesn't inform you if the driver cancels your advance booking, then Grab blames the driver. My booking was showing as active when it was already cancelled by the driver!",2,2016-11-30T23:52:46.000Z,don t offer advance bookings if you don t have the infrastructure to support it app doesn t inform you if the driver cancels your advance booking then grab blames the driver my booking was showing as active when it was already cancelled by the driver
Banyak driver Yang tidak mengerti cara pakai GPRS.  Disarankan agar tampilan GPRS di hp costemer juga ada navigasi untuk petunjuk arahnya seperti penggunaan waze karena setiap grabike tidak mungkin melihat handphone terus menerus. Kalau di handphone costemer bisakan enak costemer yg lihat navigasi untuk mengarahkan para driver. Keselamatan juga lebih terjamin,3,2016-10-16T03:57:24.000Z,banyak driver yang tidak mengerti cara pakai gprs disarankan agar tampilan gprs di hp costemer juga ada navigasi untuk petunjuk arahnya seperti penggunaan waze karena setiap grabike tidak mungkin melihat handphone terus menerus kalau di handphone costemer bisakan enak costemer yg lihat navigasi untuk mengarahkan para driver keselamatan juga lebih terjamin
"I've been using this app since they start operating in my city and I am very satisfied with the app. For those who are saying that promo isn't working, you better put in the CORRECT PROMO CODE 'coz its NOT AUTOMATIC! And make sure it Is VALID!!",5,2015-07-09T22:07:36.000Z,i ve been using this app since they start operating in my city and i am very satisfied with the app for those who are saying that promo isn t working you better put in the correct promo code coz its not automatic and make sure it is valid
Make my rides convenient and safe,5,2016-09-12T21:35:33.000Z,make my rides convenient and safe
"It was a very cool experience using grab (grab car, grab bike and grab taxi)",5,2016-04-02T12:25:50.000Z,it was a very cool experience using grab grab car grab bike and grab taxi
CÃ³ luÃ´n offline thÃ¬ tá»‘t,4,2016-09-26T11:01:24.000Z,c lu n offline th t t
Generally works fantastic.  Would be a 100%fantastic if it could locate my area though,5,2015-02-14T15:51:32.000Z,generally works fantastic would be a 100 fantastic if it could locate my area though
Very handy app,5,2015-05-15T14:39:10.000Z,very handy app
Very friendly driver,4,2015-08-19T00:24:45.000Z,very friendly driver
They always bring me to and from home safely! ðŸš•ðŸš—,5,2016-06-26T14:50:23.000Z,they always bring me to and from home safely
"This is my 1st time trying the program. That's the result I get everytime I wanna book GrabBike. I have good internet connection, and I dont think my phone GPS is bad. Program failed.",1,2015-12-06T02:20:03.000Z,this is my 1st time trying the program that s the result i get everytime i wanna book grabbike i have good internet connection and i dont think my phone gps is bad program failed
Aku nak jumpa Bibol kot! Kau dengan paklah pro*kas same je,1,2016-10-01T15:23:50.000Z,aku nak jumpa bibol kot kau dengan paklah pro kas same je
Thankyou grabtaxi for giving promo continuously,5,2016-08-03T12:08:28.000Z,thankyou grabtaxi for giving promo continuously
"I have try any apps, but this app is the best app in his kind",5,2016-09-25T13:50:27.000Z,i have try any apps but this app is the best app in his kind
"Totally loved this app so much! I could go everywhere easier, safetier..",5,2016-07-25T15:21:03.000Z,totally loved this app so much i could go everywhere easier safetier
THIS NEW APP IS HOPELESS /i USED IT EVERYDAY PRIOR TO THIS AND NOW i CANT GET THE APP TO WORK .  i DOWNLOADED IT THEN REQUESTED MY CODE . NOTHING HAPPENS  Why change something that was perfect to begin with? I used your service everyday to get to work .go shopping. long and short trips . now I am having to use taxis as i cant reply on being able to access the site.  My friend appears to be able to get it to work so she books it for me bt i have to ring her first ..,1,2016-02-12T10:31:59.000Z,this new app is hopeless i used it everyday prior to this and now i cant get the app to work i downloaded it then requested my code nothing happens why change something that was perfect to begin with i used your service everyday to get to work go shopping long and short trips now i am having to use taxis as i cant reply on being able to access the site my friend appears to be able to get it to work so she books it for me bt i have to ring her first
I am satisfied.,5,2016-10-05T13:38:35.000Z,i am satisfied
"From Singapore, tried this app this morning and amazed that it works, flawlessly. Good stuff!",5,2014-03-26T01:56:48.000Z,from singapore tried this app this morning and amazed that it works flawlessly good stuff
great and simple app,5,2016-09-09T06:39:29.000Z,great and simple app
Great transport service provider. Hopefully Grab will accept more carsso that waiting time in booking will be minimized and individual car owners will be helped. Thanks Grab.,5,2015-08-22T05:50:30.000Z,great transport service provider hopefully grab will accept more carsso that waiting time in booking will be minimized and individual car owners will be helped thanks grab
Meeting a funny driver,5,2016-04-19T12:50:19.000Z,meeting a funny driver
No loading,1,2016-03-19T01:56:27.000Z,no loading
Sana po mgextend pa ang promo. Salamat. Good job. More powers hehe,5,2015-05-20T14:41:48.000Z,sana po mgextend pa ang promo salamat good job more powers hehe
Bakit inaadvertise sa facebook ang HAPPYPISO NA CODE eh di daw ako eligible pag enter ko sa app? WHY? Any code that you can offer for people who lives in Quezon City? You should update your passengers with the updated promo codes FYI.,1,2015-08-17T06:44:06.000Z,bakit inaadvertise sa facebook ang happypiso na code eh di daw ako eligible pag enter ko sa app why any code that you can offer for people who lives in quezon city you should update your passengers with the updated promo codes fyi
"Never able to connect even with high-speed WiFi, load of crap",1,2016-10-11T06:57:20.000Z,never able to connect even with high speed wifi load of crap
Kadang2 kuponnya gak bisa dipake,4,2016-11-25T03:51:17.000Z,kadang2 kuponnya gak bisa dipake
Make a grabpool,3,2016-10-26T03:53:51.000Z,make a grabpool
"Apps nya stabil dan user friendly, driver nya juga selalu ramah. Selalu puas setiap hari pakai jasa grabbike, grabcar dan juga grabtaxi.",5,2015-11-13T13:40:12.000Z,apps nya stabil dan user friendly driver nya juga selalu ramah selalu puas setiap hari pakai jasa grabbike grabcar dan juga grabtaxi
Really handy!,5,2016-05-26T06:42:37.000Z,really handy
My apps always logs. Is it because of new version. Pls fix,1,2016-03-19T20:48:33.000Z,my apps always logs is it because of new version pls fix
Recommended app,5,2015-03-08T16:30:52.000Z,recommended app
Love how convenient the app is!,5,2015-04-15T02:11:07.000Z,love how convenient the app is
When you need it it malfunctions,1,2015-07-06T03:43:32.000Z,when you need it it malfunctions
Our driver was kind â˜º,5,2015-05-28T02:32:15.000Z,our driver was kind
"Great idea, good taxi driver, good services!",5,2015-07-13T22:24:08.000Z,great idea good taxi driver good services
Crashed on Lenovo A7000 after update to Android 6,2,2016-04-22T14:57:20.000Z,crashed on lenovo a7000 after update to android 6
Please correct error in submitting the feedback..,2,2015-07-01T10:42:33.000Z,please correct error in submitting the feedback
Gak bosan bosan pake grab. Pelayanannya mantep,5,2016-11-17T01:53:08.000Z,gak bosan bosan pake grab pelayanannya mantep
Been acting weird since the new UI! I selected one of my fave locations but for some reason a driver told me it was showing somewhere diff on his app. / Another instance when it couldnt FIND a driver that i had no choice but to hail a cab who's passing by ONLY to find out he was a grab driver who was NOT SEEING me appear on his app for some reason! /  I'm a big fan of grab and sincerely hope you can fix these issues soon!!,2,2015-09-01T10:49:08.000Z,been acting weird since the new ui i selected one of my fave locations but for some reason a driver told me it was showing somewhere diff on his app another instance when it couldnt find a driver that i had no choice but to hail a cab who s passing by only to find out he was a grab driver who was not seeing me appear on his app for some reason i m a big fan of grab and sincerely hope you can fix these issues soon
#1 app for taxi and rideshare in Southeast Asia. My go to choice.,5,2016-02-10T06:00:40.000Z,1 app for taxi and rideshare in southeast asia my go to choice
Promote code didn't get to use,1,2016-10-22T09:19:38.000Z,promote code didn t get to use
Nice apps. Better than Taxi operater.,5,2015-03-04T03:09:31.000Z,nice apps better than taxi operater
ThÃ¢n thiá»‡n dÃ¹ Ä‘oáº¡n Ä‘Æ°á»ng ngáº¯n,5,2016-01-03T02:58:40.000Z,th n thi n d o n ng ng n
smart app â™¥,5,2015-06-21T01:28:40.000Z,smart app
The best transportation app ever.,5,2016-10-19T11:59:55.000Z,the best transportation app ever
I meet some of them.. they was friendly and helpful.. i enjoy using the apps and i also enjoy sharing around my friend.,5,2016-04-19T19:05:18.000Z,i meet some of them they was friendly and helpful i enjoy using the apps and i also enjoy sharing around my friend
Very fast and reliable. ^_^,5,2016-05-11T07:35:19.000Z,very fast and reliable
Easy to use and convenient â˜º,5,2015-11-13T17:41:45.000Z,easy to use and convenient
User friendly... very convenient and comfortable magcommute especially going out with my kids. Kind and polite drivers as well. Thanks grab taxi!,5,2015-07-03T03:43:43.000Z,user friendly very convenient and comfortable magcommute especially going out with my kids kind and polite drivers as well thanks grab taxi
Your apps always hang I am using samsung galaxy s6 still hang,1,2016-06-24T11:50:25.000Z,your apps always hang i am using samsung galaxy s6 still hang
"Its the best now. I can go anywhere easily , hassle free",5,2016-05-08T17:31:00.000Z,its the best now i can go anywhere easily hassle free
Like a fast and furious,5,2016-04-27T11:41:44.000Z,like a fast and furious
Tambah keren aplikasinya !,5,2016-03-26T04:39:27.000Z,tambah keren aplikasinya
I do love this transportation!ðŸ‘,5,2015-08-27T04:39:52.000Z,i do love this transportation
This app is very useful,3,2015-05-31T03:55:48.000Z,this app is very useful
Do not pay by visa/ grab pay. There are plenty of cheat drivers who will overcharge you after you leave the taxi. Also Grab refuses to take any responsibility or even register a feedback or complaint against yhe driver. The cheat drivers continue to take liberty of cheating more passengers using the same platform. Avoid this app if you can.,1,2016-09-25T04:18:38.000Z,do not pay by visa grab pay there are plenty of cheat drivers who will overcharge you after you leave the taxi also grab refuses to take any responsibility or even register a feedback or complaint against yhe driver the cheat drivers continue to take liberty of cheating more passengers using the same platform avoid this app if you can
User friendly and stable,5,2016-11-20T14:12:41.000Z,user friendly and stable
The receipt does not indicate the boarding time. It only has the ending time. This makes it difficult for employees who need to claim the cab fare to company. Eg. Cab fare can be claim only when employee works overtime after 8pm. Company is unable to verify if the employee took the cab after 8pm.,4,2015-08-20T02:23:16.000Z,the receipt does not indicate the boarding time it only has the ending time this makes it difficult for employees who need to claim the cab fare to company eg cab fare can be claim only when employee works overtime after 8pm company is unable to verify if the employee took the cab after 8pm
Great service... but sometimes i have a glitch in the app which somehow the app freeze,4,2016-08-13T04:24:45.000Z,great service but sometimes i have a glitch in the app which somehow the app freeze
it very useful. and fast,5,2014-09-01T05:38:11.000Z,it very useful and fast
Works great for me. Its easy to use.,5,2016-06-03T01:07:08.000Z,works great for me its easy to use
Great work,5,2014-06-05T12:52:05.000Z,great work
"Whatever your complaints are, nothing beats Grab Taxi. And I have used both Grab Taxi and Easy Taxi in Singapore.",5,2014-08-27T14:46:30.000Z,whatever your complaints are nothing beats grab taxi and i have used both grab taxi and easy taxi in singapore
It is really nice having this kind of app...:),5,2015-08-13T05:57:16.000Z,it is really nice having this kind of app
You just have to restart your smartphone.,5,2016-01-31T17:56:24.000Z,you just have to restart your smartphone
a great help to stranger...,5,2015-12-04T06:14:10.000Z,a great help to stranger
Coolest app ever,5,2016-09-17T06:31:25.000Z,coolest app ever
So many times this is happening. I'm very disappointed of this case. There's so many driver around me and they look free and there's no order accepted. But grab said there's no driver? Poor grab.,2,2016-11-21T01:01:59.000Z,so many times this is happening i m very disappointed of this case there s so many driver around me and they look free and there s no order accepted but grab said there s no driver poor grab
Afte 20 min tried...finally got 1 taxi but the arriving time was 5 min but he took more than the road was jam...but again the time stil showing 5min to arrive...y the timing not changed according the taxi rides??,2,2015-04-30T21:35:46.000Z,afte 20 min tried finally got 1 taxi but the arriving time was 5 min but he took more than the road was jam but again the time stil showing 5min to arrive y the timing not changed according the taxi rides
"Aplikasinya bagus untuk keperluan sehari-hari. Saya sangat terbantu dengannya. Tapi kadangkala saat memesan, posisi GPS supir kadang tidak sesuai dengan posisi aktualnya sehingga sulit memandu ke lokasi penjemputan.",4,2016-04-07T14:17:09.000Z,aplikasinya bagus untuk keperluan sehari hari saya sangat terbantu dengannya tapi kadangkala saat memesan posisi gps supir kadang tidak sesuai dengan posisi aktualnya sehingga sulit memandu ke lokasi penjemputan
"Aplikasi nya sangat membantu, driver nya ramah2,tapi sayang,kalau sudah di jam 16.30 wib ke atas,sangat susah untuk melakukan pemesanannya,apalagi di sekitar lingkungan perkantoran...mohon terus tingkatkan kualitas dan pelayanan nya...",5,2016-04-21T23:39:12.000Z,aplikasi nya sangat membantu driver nya ramah2 tapi sayang kalau sudah di jam 16 30 wib ke atas sangat susah untuk melakukan pemesanannya apalagi di sekitar lingkungan perkantoran mohon terus tingkatkan kualitas dan pelayanan nya
"when we use the history for the rebooking, it will directly book upon hitting the ""book now"" without even asking for a promo code! no field to type for the promo code! so we ended up paying for the whole amount PLUS the booking fee!",1,2015-08-23T04:49:43.000Z,when we use the history for the rebooking it will directly book upon hitting the book now without even asking for a promo code no field to type for the promo code so we ended up paying for the whole amount plus the booking fee
Fast and found me at the address.,4,2015-08-09T07:32:57.000Z,fast and found me at the address
"mudah digunakan, terpercaya, cepat datang :)",5,2016-11-30T08:28:28.000Z,mudah digunakan terpercaya cepat datang
Why do u guys say 8 dollar ogg but the start price in 9 dollars its one of the tricks,1,2016-02-25T23:52:02.000Z,why do u guys say 8 dollar ogg but the start price in 9 dollars its one of the tricks
Nice service and CHEAP,5,2016-03-29T01:20:47.000Z,nice service and cheap
Amazing. Most well discplined drivers ever,5,2015-04-14T09:38:52.000Z,amazing most well discplined drivers ever
"Very helpful, thank you",5,2016-06-20T04:55:35.000Z,very helpful thank you
So cool,5,2015-06-02T07:12:20.000Z,so cool
Is very help me,5,2016-08-30T14:43:42.000Z,is very help me
Thanks to grab car compnay & drivers for the good job done. Keep it up,5,2016-10-02T02:50:08.000Z,thanks to grab car compnay drivers for the good job done keep it up
Mmg terbaik .. time d kl dlu xsmpai 5mnt ada dpn pintu trus ...,5,2016-10-27T10:22:10.000Z,mmg terbaik time d kl dlu xsmpai 5mnt ada dpn pintu trus
Nice and quick,4,2015-06-20T01:46:54.000Z,nice and quick
I wish there is an option linking the app to google maps so I can change the location pin for the reason that our location is in the outskirts of manila and really hard to find by just searching it. It's a good app though.,3,2016-04-21T14:51:06.000Z,i wish there is an option linking the app to google maps so i can change the location pin for the reason that our location is in the outskirts of manila and really hard to find by just searching it it s a good app though
Di Pontianak sini dimasukin alamat koq jadinya di Malaysia?,1,2015-07-15T17:04:58.000Z,di pontianak sini dimasukin alamat koq jadinya di malaysia
Location service is not accurate. Hard to find fleets. The most expensive amongst all.,1,2016-04-24T13:14:56.000Z,location service is not accurate hard to find fleets the most expensive amongst all
Help other peoples...awesome services,5,2015-08-25T12:11:28.000Z,help other peoples awesome services
Hassle free and convenient.,4,2014-11-22T07:52:53.000Z,hassle free and convenient
"i had been used grab car everytime i went somewhere. so far, so good.",5,2016-11-10T09:29:52.000Z,i had been used grab car everytime i went somewhere so far so good
Haven't gotten a successful booking whenever I tried to book. Always can't find a cab in sg.,2,2014-06-30T01:22:54.000Z,haven t gotten a successful booking whenever i tried to book always can t find a cab in sg
The taxi arrived in less than the time indicated! :),5,2015-01-11T02:57:33.000Z,the taxi arrived in less than the time indicated
"Sangat terbantu, apalagi buat yg buta jakarta",5,2016-09-06T12:43:54.000Z,sangat terbantu apalagi buat yg buta jakarta
Very useful..More promos to come please :),5,2015-07-09T03:33:33.000Z,very useful more promos to come please
Tlg tambahin grab carnya ya..harga terjangkau sayang blm terlalu banyak armadanya,4,2015-11-30T02:11:30.000Z,tlg tambahin grab carnya ya harga terjangkau sayang blm terlalu banyak armadanya
Nice n easy,5,2016-10-26T13:50:27.000Z,nice n easy
The app allows user to reach out for the Grab Car at fixed rate. Unlike the certain local unfriendly and slaughter taxi.,5,2016-11-01T01:42:20.000Z,the app allows user to reach out for the grab car at fixed rate unlike the certain local unfriendly and slaughter taxi
grabtaxi solusi gue utk transportasi di jakarta,5,2015-08-06T14:35:19.000Z,grabtaxi solusi gue utk transportasi di jakarta
"cannot activate, sms activation code did not reach my phone, then i type the voice activation code but the app says it is an invalid code",1,2016-12-05T01:42:29.000Z,cannot activate sms activation code did not reach my phone then i type the voice activation code but the app says it is an invalid code
Sempat komplain ke CS Grab dan naik banding gara2 akun suspended.. tapi sama sekali tidak diproses dalam waktu dekat... waktunya beralih ke ojek online sebelah.. thanks grab,1,2016-12-05T01:44:14.000Z,sempat komplain ke cs grab dan naik banding gara2 akun suspended tapi sama sekali tidak diproses dalam waktu dekat waktunya beralih ke ojek online sebelah thanks grab
"if u wanna hang out some where u didn't know, the driver was helpfull, especially when u in rush, happy try guys ðŸ»",5,2016-05-12T15:35:07.000Z,if u wanna hang out some where u didn t know the driver was helpfull especially when u in rush happy try guys
Grab car makes my life easier =),5,2016-08-13T03:19:56.000Z,grab car makes my life easier
Mix song,1,2015-07-11T02:15:58.000Z,mix song
Very helpful and easy to find the car,5,2016-07-11T01:26:34.000Z,very helpful and easy to find the car
No need for hustle commuters..,5,2015-07-29T06:57:42.000Z,no need for hustle commuters
Liking this apps,4,2015-08-22T12:09:04.000Z,liking this apps
"Ride is better with grabcar, very comfortable, cheap and relaxed mind.",5,2016-08-17T20:12:59.000Z,ride is better with grabcar very comfortable cheap and relaxed mind
"Belum nyoba, tapi bagus aja deh",5,2016-07-21T07:49:17.000Z,belum nyoba tapi bagus aja deh
Works well so far,4,2016-11-29T09:41:12.000Z,works well so far
"Bagus , murah , cepat dan pelayanan baik  cuma kendala jarang driver nyediain masker",5,2016-07-31T11:29:29.000Z,bagus murah cepat dan pelayanan baik cuma kendala jarang driver nyediain masker
"Best and affordable rate quoted in advance, depending on the type of car/service booked by customer! It's fast and easy to use this app!",5,2016-11-21T16:43:51.000Z,best and affordable rate quoted in advance depending on the type of car service booked by customer it s fast and easy to use this app
'please try again in few minutes' is so often I get when ordering Grab on busy hour. please make it easy & fast even on busy hour. thanks Grab crew,5,2016-10-08T05:35:43.000Z,please try again in few minutes is so often i get when ordering grab on busy hour please make it easy fast even on busy hour thanks grab crew
Easy to get taxi and not restricted to 1 taxi company. Very quick response time. Love it.,5,2015-06-28T23:16:01.000Z,easy to get taxi and not restricted to 1 taxi company very quick response time love it
Nice app...very useful,5,2015-05-30T15:47:16.000Z,nice app very useful
"Why tf is it not working in wifi?!?!  New update sucks!  Please fix this problem, i loved this app before the update,  but now,  idk...  Tsk! ðŸ˜¡ðŸ˜¡ðŸ˜¡",1,2016-02-04T04:45:50.000Z,why tf is it not working in wifi new update sucks please fix this problem i loved this app before the update but now idk tsk
"Hal yang paling saya suka dari Grab yaitu Grabbike. Ternyata menunggu kedatangan Grabbike itu sangat menyenangkan, saya bisa menghabiskan waktu hidup saya dengan berdiri di trotoar selama 15 menit menatap langit. Terima kasih driver Grab.",2,2016-07-21T13:37:12.000Z,hal yang paling saya suka dari grab yaitu grabbike ternyata menunggu kedatangan grabbike itu sangat menyenangkan saya bisa menghabiskan waktu hidup saya dengan berdiri di trotoar selama 15 menit menatap langit terima kasih driver grab
"So far I have no issue with using this app and it allows me to budget for my car rides. I would prefer grab car. Even though the driver are young, they understand our pain point of getting a cab. Now I support grab car totally.",5,2016-08-17T12:55:23.000Z,so far i have no issue with using this app and it allows me to budget for my car rides i would prefer grab car even though the driver are young they understand our pain point of getting a cab now i support grab car totally
Accessible good drivers,5,2016-10-14T22:27:53.000Z,accessible good drivers
very nice transportasion,5,2016-04-01T09:19:48.000Z,very nice transportasion
"Even though I use the GPS or satellite to locate my house, it shows nothing. Useless.",1,2014-08-18T14:21:28.000Z,even though i use the gps or satellite to locate my house it shows nothing useless
New inovatif.. #Recomended,4,2016-03-12T12:44:37.000Z,new inovatif recomended
Fix it please!,1,2015-07-28T09:31:07.000Z,fix it please
I liked grab,5,2016-11-16T06:29:08.000Z,i liked grab
More to improve when providing pick / drop location.,4,2014-08-23T02:54:20.000Z,more to improve when providing pick drop location
you can always count on and easy to access. the app is great and very reliable,5,2015-12-29T15:19:24.000Z,you can always count on and easy to access the app is great and very reliable
I dont have to go out to main road to take a ride.,5,2016-06-21T22:44:15.000Z,i dont have to go out to main road to take a ride
Some locations are hard to find in the suggested locations,4,2014-07-23T15:22:36.000Z,some locations are hard to find in the suggested locations
It's useful and user friendly app. Really helpful in finding any transportation i want to choose.,5,2016-08-18T02:21:24.000Z,it s useful and user friendly app really helpful in finding any transportation i want to choose
Kenapa gak bisa instal dihp saya ya,3,2016-01-07T03:59:57.000Z,kenapa gak bisa instal dihp saya ya
ðŸ˜ ðŸ˜¡ðŸ˜¡ðŸ˜¡I always use grab. but I'm so disappointed because it doesn't notify me with its latest promotions like the 90% off promo. don't us loyal grab user deserve that?!! i was so surprised when my friend informed me about the 90% off promotion.  my grab app is updated because it is regularly updated by my phone's system when there's a new update.,4,2016-09-03T11:56:50.000Z,i always use grab but i m so disappointed because it doesn t notify me with its latest promotions like the 90 off promo don t us loyal grab user deserve that i was so surprised when my friend informed me about the 90 off promotion my grab app is updated because it is regularly updated by my phone s system when there s a new update
"This started two nights ago. Everytime I open the app, it locks my phone's screen. Haven't been able to use it since. Hope this gets fixed by an update or something. This is on the zenfone 5 btw",3,2015-03-13T17:27:59.000Z,this started two nights ago everytime i open the app it locks my phone s screen haven t been able to use it since hope this gets fixed by an update or something this is on the zenfone 5 btw
Good app and Nice Promotions,5,2016-09-13T15:38:39.000Z,good app and nice promotions
Convenient and easy to use.,4,2015-12-05T04:21:11.000Z,convenient and easy to use
Easy to use. Minim bug/lag.,4,2016-07-09T14:44:22.000Z,easy to use minim bug lag
Convenient app! Life saver!,5,2016-08-24T21:14:43.000Z,convenient app life saver
"Actually the app is ok..problem is, the ad from Fyber offered sort of payment duly install, open & register is just a DAMN RIP OFF!",1,2016-09-09T11:46:44.000Z,actually the app is ok problem is the ad from fyber offered sort of payment duly install open register is just a damn rip off
"The old version was working perfectly. Not beautiful, but working. This version, somehow, cannot find any driver no matter where I am in Bangkok. Doesn't even looks like it was scanning. Don't be surprise if your sales drop dramaticcally this week.",1,2015-09-02T07:23:32.000Z,the old version was working perfectly not beautiful but working this version somehow cannot find any driver no matter where i am in bangkok doesn t even looks like it was scanning don t be surprise if your sales drop dramaticcally this week
Cancel option had been removed,4,2015-10-08T05:12:45.000Z,cancel option had been removed
app/service keeps getting better and better... good job devs,5,2016-12-01T00:09:44.000Z,app service keeps getting better and better good job devs
"The application is good but its partner taxi service is really suck. How come the driver being so rude to their customer, especially for Express taxi driver. I've got that express taxi using grab taxi twice and experiencing a really bad services that make me won't use this service anymore.",2,2015-03-14T17:48:33.000Z,the application is good but its partner taxi service is really suck how come the driver being so rude to their customer especially for express taxi driver i ve got that express taxi using grab taxi twice and experiencing a really bad services that make me won t use this service anymore
Happy to use grab service.,5,2016-06-02T09:26:05.000Z,happy to use grab service
"""SOMETHING WRONG AND TAP TO RETRY' all the day long",1,2016-11-27T00:20:00.000Z,something wrong and tap to retry all the day long
